,House Type,House Age,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price,Rooms,Living Rooms,House Size m2,Floor Level,Neighborhood Grouped,Town Grouped,City Grouped
0,Daire,3,True,2.0,İkinci El,Kombi,Doğalgaz,16000,3,1,125.0,2.5,Other,Ankara - Mamak,Ankara
1,Daire,5,False,2.0,İkinci El,Kombi,Doğalgaz,15500,3,1,140.0,13.0,Other,Adana - Seyhan,Adana
2,Residence,0,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000,4,1,360.0,21.0,İstanbul - Beşiktaş - Nisbetiye,İstanbul - Beşiktaş,İstanbul
3,Residence,0,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000,4,1,350.0,2.5,İstanbul - Beşiktaş - Nisbetiye,İstanbul - Beşiktaş,İstanbul
4,Daire,15,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,60000,1,1,90.0,5.0,Other,İstanbul - Şişli,İstanbul
6,Villa,10,True,4.0,İkinci El,Klima,Elektrik,1000000,4,1,850.0,2.5,Other,Muğla - Bodrum,Muğla
7,Daire,21,True,1.0,İkinci El,Kombi,Doğalgaz,35000,1,1,80.0,4.0,Other,İstanbul - Şişli,İstanbul
8,Daire,1,False,3.0,İkinci El,Klima,Elektrik,25000,5,1,260.0,20.0,Antalya - Alanya - Mahmutlar,Antalya - Alanya,Antalya
9,Villa,27,True,4.0,İkinci El,Kombi,Doğalgaz,500000,5,1,500.0,2.5,Other,İstanbul - Beşiktaş,İstanbul
10,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,15000,2,1,90.0,5.0,Other,İstanbul - Bahçelievler,İstanbul
11,Müstakil Ev,11,False,3.0,İkinci El,Kombi,Bilinmiyor,37000,4,1,350.0,0.0,Other,Other,İzmir
12,Daire,22,False,2.0,İkinci El,Kombi,Doğalgaz,40000,3,1,185.0,4.0,Other,İstanbul - Şişli,İstanbul
13,Villa,5,True,2.0,İkinci El,Klima,Bilinmiyor,270000,2,1,250.0,0.0,Other,İzmir - Çeşme,İzmir
14,Daire,1,True,1.0,İkinci El,Klima,Bilinmiyor,22000,1,1,65.0,0.5,Other,İzmir - Çeşme,İzmir
15,Villa,2,True,4.0,Sıfır,Klima,Elektrik,40000,3,1,300.0,2.5,Other,Other,Antalya
