,City,Town,Neighborhood,Apartment Type,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
0,Ankara,Mamak,Akşemsettin,Daire,Daire,3,125 m2,3 + 1,Ara Kat,True,2.0,İkinci El,Kombi,Doğalgaz,16000
1,Adana,Seyhan,Yeşilyurt,Daire,Daire,5,140 m2,3 + 1,13. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,15500
2,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,360 m2,4 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000
3,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,350 m2,4 + 1,Ara Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000
4,İstanbul,Şişli,Fulya,Daire,Daire,15,90 m2,1 + 1,5. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,60000
5,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,175 m2,2 + 1,10. Kat,False,2.0,İkinci El,VRV,Doğalgaz,255000
6,Muğla,Bodrum,Dirmil,Villa,Villa,10,850 m2,4 + 1,,True,4.0,İkinci El,Klima,Elektrik,1000000
7,İstanbul,Şişli,Fulya,Daire,Daire,21,80 m2,1 + 1,4. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,35000
8,Antalya,Alanya,Mahmutlar,Daire,Daire,1,260 m2,5 + 1,En Üst Kat,False,3.0,İkinci El,Klima,Elektrik,25000
9,İstanbul,Beşiktaş,Etiler,Villa,Villa,27,500 m2,5 + 1,,True,4.0,,Kombi,Doğalgaz,500000
10,İstanbul,Bahçelievler,Yenibosna Merkez,Daire,Daire,25,90 m2,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,15000
11,İzmir,Seferihisar,Hıdırlık,Müstakil Ev,Müstakil Ev,11,350 m2,4 + 1,Bahçe Katı,False,3.0,,Kombi,,37000
12,İstanbul,Şişli,Bozkurt,Daire,Daire,22,185 m2,3 + 1,4. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,40000
13,İzmir,Çeşme,Yalı,Villa,Villa,5,250 m2,2 + 1,Bahçe Katı,True,2.0,,Klima,,270000
14,İzmir,Çeşme,Dalyan,Daire,Daire,1,65 m2,1 + 1,Yüksek Giriş,True,1.0,,Klima,,22000
15,Antalya,Serik,Kadriye,Villa,Villa,2,300 m2,3 + 1,,True,4.0,Sıfır,Klima,Elektrik,40000
16,Ankara,Etimesgut,Tunahan,Daire,Daire,4,130 m2,3 + 1,21 ve üzeri,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,35000
17,Muğla,Ortaca,Karaburun,Daire,Daire,Sıfır,150 m2,3 + 1,3. Kat,False,2.0,Sıfır,Merkezi,Elektrik,20000
18,İstanbul,Kadıköy,Caddebostan,Daire,Daire,5,180 m2,4 + 1,Yüksek Giriş,False,3.0,İkinci El,Kombi,Doğalgaz,165000
19,İstanbul,Sarıyer,Maslak,Daire,Daire,4,165 m2,2 + 1,3. Kat,True,3.0,,Merkezi,,75000
20,İzmir,Çeşme,Reisdere,Daire,Daire,4,75 m2,1 + 1,2. Kat,True,1.0,,Klima,,310000
21,Ankara,Çankaya,Şehit Cevdet Özdemir,Daire,Daire,25,130 m2,3 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,16500
22,İstanbul,Beşiktaş,Dikilitaş,Residence,Residence,15,286 m2,3 + 1,5. Kat,False,3.0,İkinci El,Kombi,Doğalgaz,120000
23,İstanbul,Beyoğlu,Cihangir,Daire,Daire,30,120 m2,2 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,45000
24,İstanbul,Beşiktaş,Levazım,Residence,Residence,5,169 m2,1 + 1,7. Kat,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,240000
25,İstanbul,Avcılar,Cihangir,Daire,Daire,26,98 m2,2 + 1,3. Kat,False,1.0,,Kombi,,12000
26,Ankara,Çankaya,Yıldızevler,Daire,Daire,24,130 m2,3 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,25000
27,Isparta,Merkez,Çünür,Daire,Daire,1,50 m2,1 + 1,4. Kat,True,1.0,Sıfır,Kombi,Doğalgaz,9750
28,Ankara,Çankaya,Mürsel Uluç,Daire,Daire,10,135 m2,3 + 1,2. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,23000
29,İstanbul,Küçükçekmece,Atakent,Daire,Daire,11,67 m2,1 + 1,7. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,24000
30,Aksaray,Merkez,Şeyh Hamit,Daire,Daire,10,180 m2,3 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10000
31,Ankara,Çankaya,Çukurambar,Residence,Residence,Sıfır,76 m2,1 + 1,5. Kat,True,1.0,Sıfır,Merkezi (Pay Ölçer),Elektrik,45000
32,Ankara,Çankaya,Gaziosmanpaşa,Daire,Daire,55,135 m2,3 + 1,3. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,27500
33,Balıkesir,Erdek,Çeltikçi,Villa,Villa,15,340 m2,5 + 2,,True,4.0,,Klima,,130000
34,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,200 m2,2 + 1,14. Kat,False,2.0,İkinci El,VRV,Doğalgaz,195000
35,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,169 m2,2 + 1,10. Kat,True,2.0,İkinci El,VRV,Doğalgaz,285000
36,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,346 m2,5 + 1,21 ve üzeri,False,4.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,320000
37,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,349 m2,4 + 1,18. Kat,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,300000
38,İstanbul,Beşiktaş,Levazım,Residence,Residence,Sıfır,570 m2,7 + 1,16. Kat,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,540000
39,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,346 m2,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,300000
40,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,350 m2,5 + 1,21 ve üzeri,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,465000
41,İstanbul,Şişli,Harbiye,Residence,Residence,15,121 m2,1 + 1,21 ve üzeri,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,96000
42,İstanbul,Beşiktaş,Levazım,Residence,Residence,1,221 m2,3 + 1,8. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,255000
43,Ankara,Keçiören,Tepebaşı,Daire,Daire,35,120 m2,3 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,13500
44,İstanbul,Beşiktaş,Kültür,Residence,Residence,Sıfır,355 m2,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,335000
45,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,600 m2,6 + 1,21 ve üzeri,False,5.0,Sıfır,Merkezi,Doğalgaz,650000
46,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,1,578 m2,8 + 1,21 ve üzeri,False,6.0,Sıfır,Merkezi,Doğalgaz,650000
47,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,179 m2,2 + 1,15. Kat,False,2.0,İkinci El,VRV,Doğalgaz,240000
48,İstanbul,Beşiktaş,Levazım,Residence,Residence,5,200 m2,2 + 1,2. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,200000
49,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,190 m2,2 + 1,13. Kat,False,2.0,İkinci El,VRV,Doğalgaz,220000
50,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,9,450 m2,4 + 1,16. Kat,,4.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,320000
51,İstanbul,Beşiktaş,Vişnezade,Daire,Daire,5,145 m2,1 + 1,Ara Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,120000
52,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,217 m2,2 + 1,7. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,270000
53,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,200 m2,2 + 1,7. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,250000
54,İstanbul,Beşiktaş,Levazım,Residence,Residence,5,170 m2,2 + 1,Yüksek Giriş,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,200000
