Ensemble Type,RMSE,MAPE,Models used,Training Time (s)
Stacking,4657.24,0.1994,DecisionTree + RandomForest + XGBoost,15.54
Stacking,4661.0,0.1999,RandomForest + GBM + XGBoost,17.09
Stacking,4665.1,0.1999,KNN + DecisionTree + RandomForest + XGBoost,19.4
Stacking,4663.06,0.2,KNN + RandomForest + XGBoost,21.63
Stacking,4667.92,0.2005,KNN + DecisionTree + SVR + RandomForest + XGBoost,37.17
Stacking,4660.99,0.2005,KNN + SVR + RandomForest + GBM + XGBoost,38.88
Stacking,4653.16,0.2005,KNN + RandomForest + GBM + XGBoost,21.94
Stacking,4673.64,0.2006,DecisionTree + SVR + RandomForest + XGBoost,32.9
Stacking,4667.95,0.2007,SVR + RandomForest + GBM + XGBoost,34.6
Stacking,4669.41,0.2007,KNN + DecisionTree + SVR + RandomForest + GBM + XGBoost,39.5
Stacking,4671.25,0.2008,KNN + SVR + RandomForest + XGBoost,37.1
Stacking,4679.13,0.2009,KNN + DecisionTree + RandomForest + GBM,16.16
Stacking,4667.98,0.201,KNN + SVR + RandomForest + GBM,34.0
Stacking,4672.6,0.2012,DecisionTree + RandomForest + GBM + XGBoost,17.52
Stacking,4674.47,0.2012,DecisionTree + RandomForest + GBM,11.88
Stacking,4668.95,0.2013,DecisionTree + SVR + RandomForest + GBM + XGBoost,34.88
Stacking,4677.71,0.2014,SVR + RandomForest + XGBoost,32.38
Stacking,4683.55,0.2015,KNN + DecisionTree + SVR + LightGBM + RandomForest + GBM + XGBoost,39.77
Stacking,4684.18,0.2015,KNN + DecisionTree + LightGBM + RandomForest + XGBoost,19.83
Stacking,4681.42,0.2016,KNN + DecisionTree + LightGBM + RandomForest + GBM + XGBoost,21.81
Stacking,4675.73,0.2016,DecisionTree + SVR + LightGBM + RandomForest + GBM + XGBoost,35.52
Stacking,4677.85,0.2016,KNN + DecisionTree + RandomForest + GBM + XGBoost,21.7
Stacking,4673.47,0.2017,KNN + GBM + XGBoost,14.96
Stacking,4691.42,0.2017,KNN + DecisionTree + SVR + LightGBM + RandomForest + XGBoost,37.42
Stacking,4701.91,0.2019,DecisionTree + LightGBM + RandomForest + XGBoost,15.37
Stacking,4693.74,0.202,KNN + LightGBM + RandomForest + GBM + XGBoost,21.62
Stacking,4682.46,0.2021,SVR + GBM + XGBoost,25.9
Stacking,4694.29,0.2021,DecisionTree + SVR + LightGBM + RandomForest + XGBoost,33.53
Stacking,4695.56,0.2021,SVR + LightGBM + RandomForest + XGBoost,32.64
Stacking,4688.79,0.2022,DecisionTree + LightGBM + RandomForest + GBM + XGBoost,17.75
Stacking,4704.98,0.2024,KNN + LightGBM + RandomForest + XGBoost,19.41
Stacking,4706.8,0.2024,KNN + SVR + LightGBM + RandomForest + GBM + XGBoost,39.09
Stacking,4704.28,0.2024,SVR + LightGBM + RandomForest + GBM + XGBoost,34.98
Stacking,4702.77,0.2024,LightGBM + RandomForest + XGBoost,14.92
Stacking,4678.11,0.2025,DecisionTree + GBM + XGBoost,8.65
Stacking,4705.95,0.2026,KNN + DecisionTree + SVR + GBM + XGBoost,31.3
Stacking,4698.62,0.2027,KNN + SVR + GBM + XGBoost,30.93
Stacking,4705.32,0.2027,KNN + SVR + LightGBM + RandomForest + XGBoost,37.16
Stacking,4676.25,0.2028,KNN + RandomForest + GBM,15.62
Stacking,4685.89,0.2031,LightGBM + RandomForest + GBM,11.64
Averaging,4660.31,0.2031,RandomForest + GBM + XGBoost,0.12
Stacking,4690.08,0.2031,KNN + DecisionTree + SVR + LightGBM + RandomForest + GBM,33.49
Stacking,4718.65,0.2033,SVR + LightGBM + RandomForest + GBM,29.3
Stacking,4720.49,0.2034,DecisionTree + LightGBM + RandomForest + GBM,12.0
Stacking,4700.75,0.2034,DecisionTree + SVR + RandomForest + GBM,29.77
Stacking,4716.63,0.2034,KNN + DecisionTree + SVR + LightGBM + GBM + XGBoost,31.14
Stacking,4697.65,0.2035,KNN + DecisionTree + GBM + XGBoost,12.91
Stacking,4709.78,0.2036,KNN + DecisionTree + LightGBM + RandomForest + GBM,16.26
Stacking,4712.27,0.2036,LightGBM + RandomForest + GBM + XGBoost,17.34
Stacking,4696.15,0.2037,SVR + RandomForest + GBM,28.93
Stacking,4701.88,0.2037,DecisionTree + SVR + GBM + XGBoost,26.27
Stacking,4700.58,0.2037,KNN + DecisionTree + SVR + RandomForest + GBM,33.49
Stacking,4705.57,0.2038,DecisionTree + LightGBM + GBM + XGBoost,9.01
Stacking,4691.59,0.2038,KNN + LightGBM + RandomForest + GBM,16.12
Stacking,4715.16,0.204,DecisionTree + SVR + LightGBM + RandomForest + GBM,29.65
Stacking,4732.57,0.2041,KNN + DecisionTree + SVR + XGBoost,28.29
Stacking,4734.43,0.2042,KNN + SVR + XGBoost,27.67
Stacking,4740.34,0.2042,DecisionTree + SVR + LightGBM + RandomForest,27.15
Stacking,4742.19,0.2042,KNN + DecisionTree + LightGBM + RandomForest,14.48
Stacking,4734.32,0.2042,KNN + DecisionTree + SVR + LightGBM + RandomForest,32.0
Stacking,4739.8,0.2043,SVR + LightGBM + RandomForest,26.89
Stacking,4744.75,0.2043,DecisionTree + LightGBM + RandomForest,9.77
